"table_name","column_name","data_type"
"ai_analysis","article_id","uuid"
"ai_analysis","summary","text"
"ai_analysis","key_entities","jsonb"
"ai_analysis","fact_check_status","character varying"
"ai_analysis","credibility_score","numeric"
"ai_analysis","updated_at","timestamp with time zone"
"article","id","uuid"
"article","source_id","uuid"
"article","url","text"
"article","title","text"
"article","content","text"
"article","authors","ARRAY"
"article","published_at","timestamp with time zone"
"article","language","character varying"
"article","embedding","USER-DEFINED"
"article","sentiment_score","numeric"
"article","created_at","timestamp with time zone"
"multimedia","id","uuid"
"multimedia","article_id","uuid"
"multimedia","media_url","text"
"multimedia","media_type","character varying"
"multimedia","extracted_text","text"
"multimedia","created_at","timestamp with time zone"
"source","id","uuid"
"source","name","text"
"source","domain","text"
"source","description","text"
"source","bias_rating","smallint"
"source","api_key_encrypted","text"
"source","created_at","timestamp with time zone"
"user_profile","id","uuid"
"user_profile","preferred_sources","ARRAY"
"user_profile","search_history","jsonb"
"user_profile","trust_score","numeric"
"user_profile","created_at","timestamp with time zone"
"user_profile","password","text"
"user_profile","email","text"
"user_profile","google_id","text"
"user_profile","is_admin","boolean"
"user_profile","admin_level","smallint"
"user_profile","user_level","smallint"
"user_profile","first_name","text"
"user_profile","last_name","text"
"user_saved_article","user_id","uuid"
"user_saved_article","article_id","uuid"
"user_saved_article","saved_at","timestamp with time zone"